Time	Channel A	Channel B
(s)	(V)	(V)

0.00000000	0.43368600	7.26962300
0.00002000	0.43368600	7.18319400
0.00004000	0.43368600	7.26962300
0.00006000	0.43368600	7.26962300
0.00008000	0.43368600	7.26962300
0.00010000	0.43368600	7.26962300
0.00012000	0.43368600	7.26962300
0.00014000	0.34694880	7.26962300
0.00016000	0.43368600	7.26962300
0.00018000	0.34694880	7.18319400
0.00020000	0.34694880	7.26962300
0.00022000	0.34694880	7.18319400
0.00024000	0.34694880	7.18319400
0.00026000	0.34694880	7.18319400
0.00028000	0.34694880	7.18319400
0.00030000	0.34694880	7.18319400
0.00032000	0.34694880	7.18319400
0.00034000	0.34694880	7.18319400
0.00036000	0.26021160	7.09645700
0.00038000	0.34694880	7.09645700
0.00040000	0.34694880	7.09645700
0.00042000	0.26021160	7.09645700
0.00044000	0.34694880	7.01002700
0.00046000	0.26021160	7.01002700
0.00048000	0.26021160	6.92359700
0.00050000	0.26021160	6.92359700
0.00052000	0.26021160	6.92359700
0.00054000	0.17347440	6.92359700
0.00056000	0.26021160	6.83686000
0.00058000	0.17347440	6.83686000
0.00060000	0.17347440	6.75043100
0.00062000	0.17347440	6.75043100
0.00064000	0.17347440	6.75043100
0.00066000	0.17347440	6.66369300
0.00068000	0.17347440	6.66369300
0.00070000	0.17347440	6.57726400
0.00072000	0.17347440	6.49083400
0.00074000	0.17347440	6.49083400
0.00076000	0.17347440	6.40409700
0.00078000	0.17347440	6.40409700
0.00080000	0.08673721	6.31766700
0.00082000	0.08673721	6.23123800
0.00084000	0.08673721	6.23123800
0.00086000	0.08673721	6.23123800
0.00088000	0.08673721	6.14450000
0.00090000	0.08673721	6.05807100
0.00092000	0.08673721	6.05807100
0.00094000	0.08673721	5.97133400
0.00096000	0.08673721	5.88490400
0.00098000	0.08673721	5.79847400
0.00100000	0.00000000	5.79847400
0.00102000	0.00000000	5.71173700
0.00104000	0.00000000	5.71173700
0.00106000	0.00000000	5.62530800
0.00108000	0.00000000	5.53887800
0.00110000	0.00000000	5.45214100
0.00112000	0.00000000	5.45214100
0.00114000	0.00000000	5.45214100
0.00116000	0.00000000	5.27897400
0.00118000	0.00000000	5.27897400
0.00120000	0.00000000	5.19254400
0.00122000	-0.08673721	5.19254400
0.00124000	0.00000000	5.10611500
0.00126000	0.00000000	5.01937700
0.00128000	-0.08673721	5.01937700
0.00130000	-0.08673721	4.93294800
0.00132000	-0.08673721	4.84651800
0.00134000	-0.08673721	4.84651800
0.00136000	-0.08673721	4.75978100
0.00138000	-0.08673721	4.75978100
0.00140000	-0.08673721	4.75978100
0.00142000	-0.08673721	4.67335100
0.00144000	-0.08673721	4.58661400
0.00146000	-0.08673721	4.58661400
0.00148000	-0.08673721	4.58661400
0.00150000	-0.17347440	4.50018500
0.00152000	-0.17347440	4.50018500
0.00154000	-0.08673721	4.41375500
0.00156000	-0.17347440	4.41375500
0.00158000	-0.17347440	4.32701800
0.00160000	-0.17347440	4.32701800
0.00162000	-0.17347440	4.32701800
0.00164000	-0.17347440	4.24058800
0.00166000	-0.17347440	4.24058800
0.00168000	-0.17347440	4.24058800
